#Comment,
#ID Code,6111D02 ??‘ªŽŽ
#2023/05/31 11:32:40,TEST No.,2         ,Piece,1    ,,,Sheet,1    
#File,6111D02-All Net GND Net›“‘ªOPEN or Short-221220
#Start time,2023/05/31 10:42:36
#End time,2023/05/31 11:18:28
#
#
#TEST Result,FAIL
#
#TEST-Step,15519,PASS-Step,15519,FAIL-Step,0, CCD-Err ,0,SKIP-Err,0
#
#Result(step)
#
#MST,CATEGORY,StepNo.(R),StepNo.(S),BLOCK,PIECE,JUDGE,JMP,MODE,RANGE,POL,REFERENCE,MEAS,So_Moni,Se_Moni,PHASE
 MST,INS,1,3376,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-5.129E-009,
 MST,INS,2,3377,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-4.437E-009,
 MST,INS,3,3378,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-4.437E-009,
 MST,INS,4,3379,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-3.598E-009,
 MST,INS,5,3380,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-4.437E-009,
 MST,INS,6,3381,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-5.277E-009,
 MST,INS,7,3382,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-4.290E-009,
 MST,INS,8,3383,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-4.290E-009,
 MST,INS,9,3384,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-4.290E-009,
 MST,INS,10,3385,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-5.129E-009,
 MST,INS,11,3386,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-4.437E-009,
 MST,INS,12,3387,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-3.450E-009,
 MST,INS,13,3388,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-5.277E-009,
 MST,INS,14,3389,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-3.450E-009,
 MST,INS,15,3390,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-4.290E-009,
 MST,INS,16,3391,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-5.129E-009,
 MST,INS,17,3392,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-6.081E-009,
 MST,INS,18,3393,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-5.129E-009,
 MST,INS,19,3394,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-4.437E-009,
 MST,INS,20,3395,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-2.758E-009,
 MST,INS,21,3396,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-1.919E-009,
 MST,INS,22,3397,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.929E+000,-5.277E-009,
 MST,INS,23,3398,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.930E+000,-3.450E-009,
 MST,INS,24,3399,1,1,PASS,,ISL,0,N, 1.000E+007,9.999000E+011, 9.931E+000,-5.129E-009,
