2023/05/28,09:31:00,  Test No.:,        17
MAP,BASE,L-TOP,X,1   ,Y,1   
DATA:,3262-019(OS)-OGRT-220902-d
Result of AutoTest(All steps)

Start time:,05/28/2023,09:26:30
End time  :,05/28/2023,09:31:00

Test result:,PASS

TEST-Step,2850,PASS-Step,2850,FAIL-Step,0
CCD-Err,0,SKIP-Err,0




AST,STEP-No.  ,STEP-NAME   ,,MOD  ,JUDGE   ,,  MODE  ,,,,REF-VALUE  ,MEAS-VALUE ,HI-LIMIT   ,LO-LIMIT   ,,,,,,,,,NET_H ,NET_L ,NET_G1,NET_G2,,,,,,,,,,,,,,,,,,,,,,,PNT-H ,PNT-L ,,,,,,,,,,,,SMX,SMY,
AST,1         ,P18   S76   ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,1280  ,1280  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,18    ,76    ,,,,,,,,,,,,  0,  0,
AST,2         ,P17   S77   ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,1328  ,1328  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,17    ,77    ,,,,,,,,,,,,  0,  0,
AST,3         ,P15   S87   ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,1347  ,1347  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,15    ,87    ,,,,,,,,,,,,  0,  0,
AST,4         ,P16   S86   ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,1348  ,1348  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,16    ,86    ,,,,,,,,,,,,  0,  0,
AST,5         ,P13   S85   ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,1350  ,1350  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,13    ,85    ,,,,,,,,,,,,  0,  0,
AST,6         ,P11   S88   ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,1355  ,1355  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,11    ,88    ,,,,,,,,,,,,  0,  0,
AST,7         ,P12   S84   ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,1356  ,1356  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,12    ,84    ,,,,,,,,,,,,  0,  0,
AST,8         ,P7    S89   ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,1369  ,1369  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,7     ,89    ,,,,,,,,,,,,  0,  0,
AST,9         ,P8    S83   ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,1371  ,1371  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,8     ,83    ,,,,,,,,,,,,  0,  0,
AST,10        ,P3    S90   ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 161.2   R,           ,           ,,,,,,,,,1373  ,1373  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,3     ,90    ,,,,,,,,,,,,  0,  0,
